node_uuid,creator,titleproper,extent,label,type,date,format,rights_statements,identifier
03da5dfa-96a5-4de7-9e94-bc96ac6b5e39,"Curtis, Chas. G.","Correspondence from Chas. G. Curtis to E.W. Rice, Jr., February 27, 1905",3 pages,"Correspondence from Chas. G. Curtis to E.W. Rice, Jr., February 27, 1905",Archive Component,1905-02-27,application/pdf,No Copyright - United States,ZWU_SCA0142_19050227
3faa7b40-4754-408b-b156-45bcbf1d6343,"Rice, Edwin W., Jr.","Correspondence from E.W. Rice Jr., to Chas. G. Curtis, March 3, 1905",2 pages,"Correspondence from E.W. Rice Jr., to Chas. G. Curtis, March 3, 1905",Archive Component,1905-03-03,application/pdf,No Copyright - United States,ZWU_SCA0142_19050303
2f760a25-629e-4918-a735-01cca47e464f,"Steinmetz, Charles Proteus","A Heavy Vapor Turbine, handwritten",6 pages,"A Heavy Vapor Turbine, handwritten",Archive Component,1906-05-20,application/pdf,No Copyright - United States,ZWU_SCA0142_19060520
a808e3ef-9f54-49a7-ab21-6debf47f1d3b,"Steinmetz, Charles Proteus","Correspondence from Steinmetz to Arturo Giovannitti, February 1915, unsigned",5 pages,"Correspondence from Steinmetz to Arturo Giovannitti, February 1915, unsigned",Archive Component,1915-02-26,application/pdf,No Copyright - United States,ZWU_SCA0142_19150226_01
7dbc150f-9fd1-4b63-9805-01de22721eeb,"Steinmetz, Charles Proteus","The Open Door in China, handwritten draft",5 pages,"The Open Door in China, handwritten draft",Archive Component,1915-02-27,application/pdf,No Copyright - United States,ZWU_SCA0142_19150227
582a4637-0ff5-4f19-992d-e819c5467748,"Davis, Charles Henry","Correspondence from Charles Henry Davis to Steinmetz, 1915",1 page,"Correspondence from Charles Henry Davis to Steinmetz, 1915",Archive Component,1915-03-03,application/pdf,No Copyright - United States,ZWU_SCA0142_19150303
a3525ff9-599b-45f1-af58-39db38cac481,"Steinmetz, Charles Proteus","American Potash Famine, Editorial for the National Editorial Service with Correspondence",10 pages,"American Potash Famine, Editorial for the National Editorial Service with Correspondence",Archive Component,1915-03-11,application/pdf,No Copyright - United States,ZWU_SCA0142_19150311
4dedcdab-c640-4981-a805-ceb1888c4734,"Steinmetz, Charles Proteus","Correspondence from Steinmetz to Charles Henry Davis, 1915, with edits and unsigned",3 pages,"Correspondence from Steinmetz to Charles Henry Davis, 1915, with edits and unsigned",Archive Component,1915-03-05,application/pdf,No Copyright - United States,ZWU_SCA0142_19150505
9877d52c-16bd-4293-95c4-fcdb0e48c2da,"Steinmetz, Charles Proteus","Correspondence between David E. Goe and Charles Steinmetz, April 26, 1918",1 page,"Correspondence between David E. Goe and Charles Steinmetz, April 26, 1918",Archive Component,1918-04-26,application/pdf,No Copyright - United States,ZWU_SCA0142_19180426
c13ea638-da7a-457b-b8fb-b0fb3521bc17,Unknown,"Correspondence to F.C. Pratt about Laboratories, 1918",9 pages,"Correspondence to F.C. Pratt about Laboratories, 1918",Archive Component,1918-12-09,application/pdf,No Copyright - United States,ZWU_SCA0142_19181209
4649b6d4-8b9f-4cfd-bcc6-bdb8c95ff592,"Hartman, Lee Foster","Correspondence from Editorial Rooms, Harper's Magazine, April 1921",1 page,"Correspondence from Editorial Rooms, Harper's Magazine, April 1921",Archive Component,1921-04-25,application/pdf,No Copyright - United States,ZWU_SCA0142_19210425
dc4371aa-f903-44f5-8839-efc58162349a,"Hartman, Lee Foster","Correspondence from Editorial Rooms, Harper's Magazine, June 1921",2 pages,"Correspondence from Editorial Rooms, Harper's Magazine, June 1921",Archive Component,1921-06-08,application/pdf,No Copyright - United States,ZWU_SCA0142_19210608
af6b170f-9673-4a30-b5a9-f4dda73ad417,"Steinmetz, Charles Proteus","Correspondence to Lee Foster Hartman of Harper's Magazine from Steinmetz, July 1921",4 pages,"Correspondence to Lee Foster Hartman of Harper's Magazine from Steinmetz, July 1921",Archive Component,1921-07-21,application/pdf,No Copyright - United States,ZWU_SCA0142_19210721
8d55397a-e1bf-495f-88c8-c3f6c9f11f26,"Hartman, Lee Foster","Correspondence from Editorial Rooms, Harper's Magazine, September 1921",2 pages,"Correspondence from Editorial Rooms, Harper's Magazine, September 1921",Archive Component,1921-09-09,application/pdf,No Copyright - United States,ZWU_SCA0142_19210909
97304312-5445-4391-8ccc-869889e49064,"Hartman, Lee Foster","Correspondence from Editorial Rooms, Harper's Magazine, November 1921",2 pages,"Correspondence from Editorial Rooms, Harper's Magazine, November 1921",Archive Component,1921-11-23,application/pdf,No Copyright - United States,ZWU_SCA0142_19211123
14bb0d6c-514b-4362-8262-f0d15c37e2da,"Steinmetz, Charles Proteus","Correspondence to Ernest Caldecott regarding the Possible Editorial ""Industrial Cooperation"" from Steinmetz, 1922",1 page,"Correspondence to Ernest Caldecott regarding the Possible Editorial ""Industrial Cooperation"" from Steinmetz, 1922",Archive Component,1922-11-27,application/pdf,No Copyright - United States,ZWU_SCA0142_19221127
