Arches URL,label,local_identifier,creator,creator_role,creator_lod,contributor,contributor_role,date_created,extent,physical_location,publisher,record_owner,language,description,note,rights_statements,rights,date_digital,related_item,original_filename,subject_loc,subjects_local,subject_lcnaf_personal_names,subjects_local_personal_names,subject_lcnaf_corporate_names,subject_lcnaf_geographic_names,term_aat_getty,type
https://arches.union.edu/do/cb7c4058-34fd-411d-a640-429367655a79,Size of the Bricks to be used in the Columns Pearson no. 22,cb7c4058-34fd-411d-a640-429367655a79,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Structural drawings,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""Size of the bricks to be used in the columns""; Pearson no. 22; possibly either colonnades or Central Building",North Colonnade; South Colonnade; Central Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/cbacef0d-1659-421c-8239-8bd11ad38ae3,Plan of the Second Story of the Central Building,cbacef0d-1659-421c-8239-8bd11ad38ae3,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"Plan of second story of Central Building; on Pearson's List of Plans as: ""Plan of Second Story of the Rectangular Chapels - with names of each room""; rooms indicated on drawing: apparatus, lecture, chapel, gallery (2); Pearson no. 39; title assigned by cataloger",Central Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/b44d828d-e6b6-4a41-91df-f73a4be969e3,Union College Section on the Line E.K. of Plan,b44d828d-e6b6-4a41-91df-f73a4be969e3,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"Section of the Central Building; on Pearson's List of Plans as: ""A Section of Rectangular Chapel""; Pearson no. 40",Central Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/20cd5c30-f0d3-4d3a-89b9-d6af73b89ac2,Two Different Sections for the Colonnades,20cd5c30-f0d3-4d3a-89b9-d6af73b89ac2,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"Section of the North/South Colonnade; on Pearson's List of Plans as: ""Two different sections for the colonnades""; Pearson no. 41",North Colonnade; South Colonnade,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/fd87db0f-e610-4d54-8282-2193a0c9f16c,Plan of the Campus,fd87db0f-e610-4d54-8282-2193a0c9f16c,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Site plans,"42.8172,-73.9300",,,eng,Site plans of the Union College Campus; verso of Pearson no. 41; title assigned by cataloger,Union College Campus Overview,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/018ff7a9-4eff-472b-9ce5-70be35f899bb,Steward's House First Story,018ff7a9-4eff-472b-9ce5-70be35f899bb,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""Steward's House. Ã¢â‚¬â€ 1st Story (No. & So. Halls)""; rooms indicated on drawing: parlor (2), entry, dining room; Pearson no. 42",Steward's House,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/5bc288c6-fbe0-48f9-9572-3f0de03f0ad4,Plan of the Campus Grounds,5bc288c6-fbe0-48f9-9572-3f0de03f0ad4,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Landscape architecture drawings; Site plans,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""Plan of the Grounds surrounding the Buildings""; Pearson no. 27",Union College Campus Overview,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/7c89974d-95af-4e88-b6b8-016809edf24d,Cornice,7c89974d-95af-4e88-b6b8-016809edf24d,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Structural drawings,"42.8172,-73.9300",,,eng,"Structural drawing for Central Building?; on Pearson's List of Plans as: ""Cornice of the Chapel?""; Pearson no. 28; title assigned by cataloger",Central Building; Round Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/15a6a374-c255-49fa-b2d5-1d76b8809a7d,Cornice and Other Miscellaneous Sketches,15a6a374-c255-49fa-b2d5-1d76b8809a7d,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Structural drawings,"42.8172,-73.9300",,,eng,"Structural drawing for Central Building?; on Pearson's List of Plans as: ""Working drawing of the cornice of the (circular?) Chapel (full size?)""; Pearson no. 29; title assigned by cataloger",Central Building; Round Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/522703e6-9106-458d-92f6-121783136592,Union College Plan of Joice First Story,522703e6-9106-458d-92f6-121783136592,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"Plan of joists of the first story of Central Building; on Pearson's List of Plans as: ""Plan of joice of first story of Rectangular Chapel""; Pearson no. 32",Central Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
