ismemberof,aspace_id,type,label,titleproper,description,creator,creator_role,subject,personal_subject,date_created_free,date_created,extent,genre,rights_statement,physical location,identifier,date_digital,file name
Shui Kong Yuen Photographs,34895,Image ,"Buildings and scenes, image BS 42","Buildings and scenes, image BS 42","Black and white photograph. Handwritten on verso, ""IDOL Summer 1942"" This IDOL in this image appears to be the Chinese Lion, painted every year in celebration. Location where on campus this was taken is unknown.","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,June 1942-August 1942,,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 42",ZWU_SCA0228_B01_F01_BS042,2025-09-08,ZWU_SCA0228_B01_F01_BS042_001.jpg;ZWU_SCA0228_B01_F01_BS042_002.jpg
,34895,Image ,"Buildings and scenes, image BS 44","Buildings and scenes, image BS 44","Black and white photograph. Handwritten on verso, ""Jackson's Garden Spring 1940"" ","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,March 1940-May 1940,,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 44",ZWU_SCA0228_B01_F01_BS044,2025-09-08,ZWU_SCA0228_B01_F01_BS044_001.jpg;ZWU_SCA0228_B01_F01_BS044_002.jpg
,34895,Image ,"Buildings and scenes, image BS 45","Buildings and scenes, image BS 45","Black and white photograph. Handwritten on verso, ""Jackson's Garden (Reflectim) December, 1940"" ","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,,1940-12-01,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 45",ZWU_SCA0228_B01_F01_BS045,2025-09-08,ZWU_SCA0228_B01_F01_BS045_001.jpg;ZWU_SCA0228_B01_F01_BS045_002.jpg
,34895,Image ,"Buildings and scenes, image BS 46","Buildings and scenes, image BS 46","Black and white photograph. Handwritten on verso, ""Jackson's Garden December 1940"" ","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,,1940-12-01,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 46",ZWU_SCA0228_B01_F01_BS046,2025-09-08,ZWU_SCA0228_B01_F01_BS046_001.jpg;ZWU_SCA0228_B01_F01_BS046_002.jpg
,34895,Image ,"Buildings and scenes, image BS 47","Buildings and scenes, image BS 47","Black and white photograph. Handwritten on verso, ""Jackson's Garden Spring 1941"" ","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,March 1941-May 1941,,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 47",ZWU_SCA0228_B01_F01_BS047,2025-09-08,ZWU_SCA0228_B01_F01_BS047_001.jpg;ZWU_SCA0228_B01_F01_BS047_002.jpg
,34895,Image ,"Buildings and scenes, image BS 48","Buildings and scenes, image BS 48","Black and white photograph. Handwritten on verso, ""Brook + Bridge Jackson's Garden Spring 1941"" The brook and bridge are located on the Eastern edge of Jackson's Garden.","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,March 1941-May 1941,,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 48",ZWU_SCA0228_B01_F01_BS048,2025-09-08,ZWU_SCA0228_B01_F01_BS048_001.jpg;ZWU_SCA0228_B01_F01_BS048_002.jpg
,34895,Image ,"Buildings and scenes, image BS 49","Buildings and scenes, image BS 49","Black and white photograph. Handwritten on verso, ""Jackson's Garden at night June 1941 Alumni Weekend"" ","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,,1941-06-01,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 49",ZWU_SCA0228_B01_F01_BS049,2025-09-08,ZWU_SCA0228_B01_F01_BS049_001.jpg;ZWU_SCA0228_B01_F01_BS049_002.jpg
,34895,Image ,"Buildings and scenes, image BS 50","Buildings and scenes, image BS 50","Black and white photograph. Handwritten on verso, ""Jackson's Garden at night June 1941 Alumni Weekend"" ","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,,1941-06-01,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 50",ZWU_SCA0228_B01_F01_BS050,2025-09-08,ZWU_SCA0228_B01_F01_BS050_001.jpg;ZWU_SCA0228_B01_F01_BS050_002.jpg
,34895,Image ,"Buildings and scenes, image BS 51","Buildings and scenes, image BS 51","Black and white photograph. Handwritten on verso, ""Jackson's Garden October 1941"" ","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,,1941-10-01,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 51",ZWU_SCA0228_B01_F01_BS051,2025-09-08,ZWU_SCA0228_B01_F01_BS051_001.jpg;ZWU_SCA0228_B01_F01_BS051_002.jpg
,34895,Image ,"Buildings and scenes, image BS 52","Buildings and scenes, image BS 52","Black and white photograph. Handwritten on verso, ""Jackson's Garden Summer 1942"" ","Yuen, Shui Kong, 1917-1992",Photographer,"Union College (Schenectady, N.Y.) http://id.worldcat.org/fast/563176",,June 1942-August 1942,,"2 pages, 1 photograph : b&w ; 8 x 9.75 in. (20.32 x 24.77 cm)",Documentary photographs,In Copyright,"Box 1, Folder 1, Item BS 52",ZWU_SCA0228_B01_F01_BS052,2025-09-08,ZWU_SCA0228_B01_F01_BS052_001.jpg;ZWU_SCA0228_B01_F01_BS052_002.jpg
