Title,Description,Subject (LCSH),Location,Date of Original,Physical Description,Local Location,Identifier,Filename
Three lumberman sitting in snow,Three unidentified Johnsburg lumberjacks at work.,Loggers,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 6 in. (12.7 x 15.2 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_001,ZWU_ARL081_001.jpg
John Grogan and family on lawn with two dogs,The Grogan family pose for a portrait with their dogs.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_002,ZWU_ARL081_002.jpg
"Frank Centerbar House, Johnsburg",Two members of the Centerbar family pose in front of their home with a work animal. A barn and other structure is visible to the left.,"Centerbar, Frank; Working animals; Frontier and pioneer life",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_003,ZWU_ARL081_003.jpg
"Fanning mill for buckwheat, Hank Hewitt log barn","Horse-powered fanning mill for buckwheat at Henry (Hank) Hewitt's log barn in the Town of Johnsburg. Children look on as the farmers work. During haying and harvesting, men gathered from neighboring farms to help one another and share equipment.",Agriculture,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_004,ZWU_ARL081_004.jpg
"Reverend Francis Putnam Farm House, barn, at base of Crane Mountain",The Putnam house and barn stand out in a wilderness beneath the foot of Crane Mountain.  Jeanne Robert Foster lived here as a child for three winters.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_005,ZWU_ARL081_005.jpg
"Woodland scene, Johnsburg",A view of dense forest in Johnburg. Mill Creek is visible on the right.,Landscape photography,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_006,ZWU_ARL081_006.jpg
Louis Suprenant House,"The Suprenant family and relations pose with horses and instruments in front of their home. Pictured left: father, Louis, holding black Canadian horse. Stoop left: daughter, Etta; cousin, Anna McGinn; son, Modeste with violin. Stoop right: wife, Emily; Mrs. Anna Larose: Minnie McGinn with son, William.","Suprenant, Louis; Suprenant, Etta; McGinn, Anna; McGinn, Modeste; Suprenant, Emily; Larose, Anna; McGinn, Minnie; McGinn, William",Minerva - Essex County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_007,ZWU_ARL081_007.jpg
Family group on Kingstown Road,Three generations of an unidentified Johnsburg family pose with their dog.,Portrait photography,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_008,ZWU_ARL081_008.jpg
Clark Fuller House and family,"The Fuller family poses in front of their home on Kenyontown Road in Johnsburg. A barn, horses and a buggy is visible in the background. A female family member holds up framed portraits, presumably of deceased relations.","Frontier and pioneer life; Fuller, Stuart; Fuller, Clark",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_009,ZWU_ARL081_009.jpg
Boy with cat,An unidentified child poses with his pet cat in front of a doorway.,Companion animals,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_010,ZWU_ARL081_010.jpg
