node_uuid,Label,Creator,Creator_Role,Date_Created,physical_location,File_format,Type,Extent,Physical_description,rights_statements,date_digital,local_identifier
ef6993d8-4474-459d-8441-c8be11fa8c48,Page 1,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
22154da5-936c-4039-801a-7cacb2d94216,Page 2- District Government,"Jackson, Sheldon, 1834-1909",Compiler,Unknown,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
9d6965b6-e20e-498d-87eb-590c830dbd2d,Page 3- Education Board For Alaska,"Jackson, Sheldon, 1834-1909",Compiler,1887-06-15,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
9c6ba35d-27e9-499f-a228-f045865815e0,"Page 4- Department of The Interior, Washington","Jackson, Sheldon, 1834-1909",Compiler,1887-06-15,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
af08b343-1917-436a-8eb2-47504a6f5120,Page 5- Rules And Regulations For The Conduct of Public Schools And Education In The Territory Of Alaska,"Jackson, Sheldon, 1834-1909",Compiler,1887-05-17,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
43090b6e-77ed-4785-84ef-e9f7b4ab9a80,Page 6,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
c91c231c-df14-4163-9fe6-8ce8c9944f35,Page 7,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
069f6908-c700-4fbe-8115-a7c467521f8b,Page 8,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
3ca315c3-ee5f-4f3d-85f4-5f8586301f12,Page 9,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
0b1a7e5b-e5e2-43ce-991c-8a028d0148ee,Page 10,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
cb102f40-b830-421d-9853-02e40c7be5d4,Page 11,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
9d72d626-d41e-4978-b0ff-7efb5410f118,Page 12- The Alaskan; The Territorial Board Of Education,"Jackson, Sheldon, 1834-1909",Compiler,1887-07-23; 0000-07-14,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
cd8c034d-085d-4ae3-8bfd-1f9e5759f54f,"Page 13- Sitka, Alaska; Office of General Agent Of Education In Alaska","Jackson, Sheldon, 1834-1909",Compiler,1887-07-16; 1887-07-15,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
0d3bb69d-eee2-4e9e-9aeb-23e8ab663524,"Page 14- Sitka, Alaska; Sitka, Alaska","Jackson, Sheldon, 1834-1909",Compiler,1887-07-16; 1887-07-18,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
22b00642-7ecc-41c5-9cf8-7ccbbff468ed,"Page 15- Sitka, Alaska ","Jackson, Sheldon, 1834-1909",Compiler,2000-07-19,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
1324164c-383a-43d6-90c8-36a9753d9774,Page 16,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
fd215b87-bf5b-4b66-8074-431f03b9b91f,Page 17,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
87c200c9-6057-497b-8dec-2304682f8b97,"Page 18- Sitka, Alaska; Bureau Of Education, Department Of The Interior, Washington, D.C","Jackson, Sheldon, 1834-1909",Compiler,1887-08-16; 1887-07-25,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
26af285e-55da-4c08-8d4c-8bbddadabcae,"Page 19- Sitka, Alaska","Jackson, Sheldon, 1834-1909",Compiler,1887-08-22,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
77980bc4-9a11-4b07-93f3-7a6307070fbb,Page 20,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
31a43bcc-43f8-42aa-8ee9-28e314a6cfd9,Page 21,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
41ea6253-5f58-40f2-8dad-d638e4733917,Page 22,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
99536906-1ed1-4cb9-9ff5-37b5c45aa295,"Page 23 The Territorial Board of Education; Sitka,Alaska; Sitka, Alaska","Jackson, Sheldon, 1834-1909",Compiler,1887-08-23; 1887-08-24; 1884-08-24,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
f3250a2d-2f94-465b-8e01-fb80986e1da7,Page 24,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
3fb4fb64-6aac-4f96-b497-12de718661ea,Page 25,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
f5455839-de76-4658-8c7a-efce1d31f254,"Page 26- Sitka, Alaska","Jackson, Sheldon, 1834-1909",Compiler,1887-08-24,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
17e4d49d-6c8e-49fd-be25-661d97d07fe3,Page 27,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
a0a9157e-9d8a-4415-8238-16c9df94f91e,"Page 28- Sitka, Alaska","Jackson, Sheldon, 1834-1909",Compiler,1887-08-26,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
a1251a15-d693-4ae4-ab98-dc2293ef4b83,Page 29,"Jackson, Sheldon, 1834-1909",Compiler,,Box 4 Folder 1,Page,Ephemera,1 page,4.125 x 6.75 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F01
